Well,Plate,CD41_APCH7,ANXA1_APC,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,Colony
D13,2,"7,151","1,108",156,411,765,267,330,N
D14,2,426,224,73,763,170,74,447,N
D15,2,"4,480",455,86,756,"1,021",54,624,N
D16,2,"5,026","1,009",120,822,805,193,"1,576",N
D17,2,"3,586",145,90,488,516,97,673,N
D18,2,731,201,68,"1,790",212,126,779,N
D19,2,"3,777",671,383,87,914,537,"1,505",N
D20,2,91,242,126,585,284,269,989,N
D21,2,"1,768",338,90,735,308,365,"2,468",N
D22,2,328,49,201,819,186,"1,328","9,138",N
D23,2,808,401,70,709,141,340,"1,164",N
D24,2,"4,856",403,85,290,339,334,"7,232",N
E1,2,142,32,87,"1,565",340,47,443,N
E2,2,"4,272","1,193",187,"1,484",662,284,"1,919",N
E3,2,"12,196","1,354",286,79,936,"1,376","2,071",N
E4,2,603,800,134,"1,227",555,241,"1,191",N
E5,2,"1,457",604,37,"1,637",304,123,566,Y
E6,2,"3,509",464,48,515,630,99,870,N
E7,2,"1,770",582,132,"1,068",344,285,931,N
E8,2,916,513,150,"1,194",515,191,830,Y
E9,2,"1,757",245,214,545,558,277,901,N
E10,2,"1,035",153,69,248,191,185,449,N
E11,2,"5,521",851,162,53,547,350,"2,056",N
E12,2,947,36,86,"1,422",141,72,152,N
E13,2,160,480,114,765,190,99,878,N
E14,2,"3,869",693,123,917,377,119,"1,234",N
E15,2,"1,435",226,97,519,359,138,"1,104",N
E16,2,125,519,58,"1,172",121,189,307,N
E17,2,509,741,92,"2,161",323,222,"5,063",N
E18,2,354,358,72,"1,269",397,42,632,N
E19,2,"3,874",982,109,"1,350",747,162,"2,428",N
E20,2,"1,265",414,166,"1,454",856,186,"1,295",Y
E21,2,"1,879",806,99,821,418,137,"1,295",N
E22,2,"6,374",663,317,49,952,350,"3,038",N
E23,2,583,413,52,"1,046",314,104,"1,565",N
E24,2,"4,551",643,266,356,895,264,"2,008",N
F1,2,"1,299",531,120,367,609,135,457,N
F2,2,"1,705",272,92,892,315,157,"1,963",N
F3,2,"2,241",106,65,856,706,20,890,N
F4,2,"1,982",675,292,"1,335","1,683",312,961,N
F5,2,160,454,143,"1,442",345,199,"1,797",N
F6,2,"2,885",200,65,923,448,128,"1,784",N
F7,2,"3,227",423,98,"1,018",472,159,"1,016",N
F8,2,"1,673",360,113,"1,180",498,141,"2,097",N
F9,2,797,454,100,"1,624",477,128,"1,235",N
F10,2,"3,122",485,54,"1,299",458,159,566,N
